No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,POINT_X,POINT_Y,Reclass_Sl,RASTERVALU,Rainfall(mm),Normal(mm),%increase
1,Ernakulam,Y,Y,N,DF,98,26,2548.0,0,N,FMP,FMP,FMP,,"Two quarters belonging to Kerala Plantation Corporation are at very close vicinity of the slide flow path, are at risk, Built up increased",76.484939,10.286001,5,26.0497016907,2305.9,1606.0,43.58%
2,Ernakulam,Y,N,N,DF,0,0,647.432,0,N,N,BRF,BRF,,,76.799174,10.074998,8,43.7269935608,2305.9,1606.0,43.58%
3,Ernakulam,Y,N,N,DF,0,0,3000.0,0,N,N,BRF,BRF,,,76.845895,10.093431,7,35.9405097961,2305.9,1606.0,43.58%
4,Ernakulam,Y,N,N,DF,0,0,2962.66,0,N,N,BRF,BRF,,,76.848402,10.270994,5,28.7580509186,2305.9,1606.0,43.58%
5,Ernakulam,Y,N,N,DF,0,0,5123.88,0,N,N,BRF,BRF,,,76.895042,10.252606,8,41.0607719421,2305.9,1606.0,43.58%
6,Ernakulam,Y,N,N,DF,0,0,1425.47,0,N,N,BRF,BRF,,,76.895419,10.25208,7,35.4784851074,2305.9,1606.0,43.58%
7,Ernakulam,Y,N,N,DF,0,0,898.024,0,N,N,BRS,BRS,,,76.752864,10.2726,8,41.687538147,2305.9,1606.0,43.58%
8,Ernakulam,Y,N,N,DF,0,0,2447.78,0,N,N,BRS,BRS,,,76.753582,10.270675,5,28.924779892,2305.9,1606.0,43.58%
10,Ernakulam,Y,N,N,DF,0,0,42439.9,0,N,N,BRS,BRS,, Tea nearby,76.860955,10.272407,8,40.2372512817,2305.9,1606.0,43.58%
11,Ernakulam,Y,N,N,DF,0,0,1196.41,0,N,N,BRS,BRS,, Tea nearby,76.865409,10.269013,5,28.8443145752,2305.9,1606.0,43.58%
12,Ernakulam,N,Y,N,DF,0,0,0.0,1,N,N,BUI,BUI,,1 cattle shed fully damaged during the slide and i cow got dead due to the incidence (as per information from the local residents),76.81731,10.02836,2,13.9984340668,2305.9,1606.0,43.58%
13,Ernakulam,Y,Y,N,DF,0,0,3170.33,2,N,N,BUI,BUI,,"Debris material deposited in the back side of the houses along with water, during the event and cracks developed in the walls of the houses (as per information from the local residents)",76.803252,10.032037,4,23.8186950684,2305.9,1606.0,43.58%
14,Ernakulam,N,Y,N,DF,0,0,0.0,0,C,N,BUI,BUI,,"Slided material blocked the road for few hours during the slide, NH-49 at risk due to this slide",76.76389,10.05445,5,25.5644989014,2305.9,1606.0,43.58%
15,Ernakulam,N,Y,N,DF,0,0,0.0,1,N,N,BUI,BUI,,"unstable slope downslope of the house, ground cracks developed",76.75846,10.06026,3,15.2614793777,2305.9,1606.0,43.58%
16,Ernakulam,N,Y,N,DF,0,0,0.0,1,N,N,BUI,BUI,,The slide zone has numerous ground cracks and is in highly unstable condition. A detailed site specific study is recommended,76.57484,9.99272,3,17.5049858093,2305.9,1606.0,43.58%
17,Ernakulam,N,Y,N,DF,0,0,0.0,0,N,N,BUI,BUI,,"Highly jointed  rock is exposed in the slide course, widening of stream channel after the event, unstable boulders are present along the nala course, Built up increased",76.54872,10.04355,2,14.3291635513,2305.9,1606.0,43.58%
18,Ernakulam,N,Y,N,DF,0,0,0.0,1,N,N,FMP,BUI,1,"crown cracks were seen at top which may cause reactivation of slide, if untreated, Built up increased",76.53725,10.02042,1,1.66223752499,2305.9,1606.0,43.58%
19,Ernakulam,N,Y,N,DF,102,15,1530.0,1,N,N,BUI,BUI,,"Widening of stream after the slide, unstable debris material present at source and slide course, Built up increased",76.477646,10.246955,4,24.8736095428,2305.9,1606.0,43.58%
20,Ernakulam,N,Y,N,DF,0,0,0.0,1,N,N,BUI,BUI,1,"Debris was induced by steep slope cutting, Built up increased",76.38667,10.02798,2,13.5112037659,2305.9,1606.0,43.58%
21,Ernakulam,N,Y,N,SS,41,31,1271.0,1,N,N,BUI,BUI,,"the slope is consisted of lithomargic clay material, which is highly prone to sliding, Built up increased",76.3865,10.02849,1,7.15650749207,2305.9,1606.0,43.58%
22,Ernakulam,Y,N,N,DF,0,0,9717.76,0,N,N,BUI,BUI,,,76.849083,10.277128,6,33.5401763916,2305.9,1606.0,43.58%
23,Ernakulam,Y,N,N,DF,0,0,8773.97,0,N,N,BUI,BUI,,,76.851585,10.27651,8,44.5783042908,2305.9,1606.0,43.58%
24,Ernakulam,Y,N,N,DF,0,0,3350.8,0,N,N,FDN,FDN,,,76.830814,10.016428,6,31.2834415436,2305.9,1606.0,43.58%
25,Ernakulam,Y,N,N,DF,0,0,1675.0,0,N,N,FDN,FDN,,,76.811669,10.022325,6,34.9769668579,2305.9,1606.0,43.58%
26,Ernakulam,Y,N,N,DF,0,0,4226.87,0,N,N,FDN,FDN,,,76.817515,10.018758,7,38.4769210815,2305.9,1606.0,43.58%
27,Ernakulam,Y,N,N,DF,0,0,4970.13,0,N,N,FDN,FDN,,,76.793619,10.108855,5,26.0449199677,2305.9,1606.0,43.58%
28,Ernakulam,Y,N,N,DF,0,0,4551.87,0,N,N,FDN,FDN,,,76.764621,10.113731,4,24.763589859,2305.9,1606.0,43.58%
29,Ernakulam,Y,N,N,SS,0,0,373.956,0,N,N,FDN,FDN,,,76.956418,10.178912,3,16.3319950104,2305.9,1606.0,43.58%
30,Ernakulam,Y,N,N,SS,0,0,484.53,0,N,N,FDN,FDN,,,76.927795,10.185599,5,27.6326599121,2305.9,1606.0,43.58%
31,Ernakulam,Y,N,N,SS,0,0,645.604,0,N,N,FDN,FDN,,,76.942665,10.205416,2,14.3043136597,2305.9,1606.0,43.58%
32,Ernakulam,Y,N,N,DF,0,0,1370.77,0,N,N,FDN,FDN,,,76.903746,10.232442,9,51.7361526489,2305.9,1606.0,43.58%
33,Ernakulam,Y,N,N,SS,0,0,905.181,0,N,N,FDN,FDN,,,76.858913,10.233818,6,30.5153675079,2305.9,1606.0,43.58%
34,Ernakulam,Y,N,N,DF,0,0,11649.337203,0,N,N,FDN,FDN,,,76.874087,10.244864,6,30.9802455902,2305.9,1606.0,43.58%
35,Ernakulam,Y,N,N,DF,0,0,1761.91,0,N,N,FDN,FDN,,,76.846076,10.267457,3,15.8029584885,2305.9,1606.0,43.58%
36,Ernakulam,Y,N,N,DF,0,0,2478.16,0,N,N,FDN,FDN,,,76.460878,10.283912,5,27.7881793976,2305.9,1606.0,43.58%
37,Ernakulam,Y,N,N,DF,0,0,37124.6,0,N,N,FDN,FDN,,,76.57753,10.267507,4,23.0311088562,2305.9,1606.0,43.58%
38,Ernakulam,Y,N,N,DF,0,0,4566.28,0,N,N,FDN,FDN,,,76.536569,10.241135,5,26.1497859955,2305.9,1606.0,43.58%
39,Ernakulam,Y,N,N,DF,0,0,5372.06,0,N,N,FDN,FDN,,,76.528102,10.240051,6,33.2462882996,2305.9,1606.0,43.58%
40,Ernakulam,Y,N,N,DF,0,0,1523.13,0,N,N,FDN,FDN,,,76.524887,10.237035,4,24.9078388214,2305.9,1606.0,43.58%
41,Ernakulam,Y,N,N,DF,0,0,1355.21,0,N,N,FDN,FDN,,,76.49497,10.230737,4,24.6528148651,2305.9,1606.0,43.58%
42,Ernakulam,Y,N,N,DF,0,0,20475.1,0,N,N,FDN,FDN,, Built up increased,76.78483,10.036141,8,41.0733642578,2305.9,1606.0,43.58%
43,Ernakulam,Y,N,N,DF,0,0,7227.84,0,N,N,FDN,FDN,, Built up increased,76.784216,10.036593,9,46.6058311462,2305.9,1606.0,43.58%
44,Ernakulam,Y,N,N,DF,0,0,3642.708593,0,N,FMP,FMP,FMP,,,76.793552,10.103504,4,20.5704116821,2305.9,1606.0,43.58%
45,Ernakulam,Y,N,N,DF,0,0,1080.68,0,N,FMP,FMP,FMP,,,76.929657,10.229994,4,20.1683959961,2305.9,1606.0,43.58%
46,Ernakulam,Y,N,N,SS,0,0,29859.7,0,N,FMP,FMP,FMP,1, Built up at toe,76.746044,10.115331,3,18.2316513062,2305.9,1606.0,43.58%
47,Ernakulam,Y,N,N,DF,0,0,4661.46,0,N,FMP,FMP,FMP,,,76.552056,10.258016,4,22.9791126251,2305.9,1606.0,43.58%
48,Ernakulam,Y,N,N,SS,0,0,8966.19,0,N,FMP,FMP,FMP,,,76.501619,10.230828,5,27.5310688019,2305.9,1606.0,43.58%
49,Ernakulam,Y,N,N,DF,0,0,4860.47,0,N,N,FNO,FNO,,,76.808382,10.024441,9,46.4325027466,2305.9,1606.0,43.58%
50,Ernakulam,Y,N,N,SS,0,0,756.659,0,N,N,FNO,FNO,,,76.753449,10.10626,6,32.7327842712,2305.9,1606.0,43.58%
